Profile: Function timing, sorted by time
Date:    Tue Jan 18 21:11:44 2000


Programmstatistik
-----------------
    2000 Jan 18 21:11 Befehlszeile: minscript -f div.ic   
    Gesamtzeit: 137,180 Millisekunden
    Zeit ausserhalb von Funktionen: 11,211 Millisekunden
    Aufruftiefe: 17
    Gesamtfunktionen: 1652
    Gesamtaufrufe: 119787
    Funktionsabdeckung: 28,8%
    Berechneter Verwaltungsaufwand: 7
    Durchschnittlicher Aufwand: 7

Modulstatistik fuer minipdll.dll
--------------------------------
    Zeit innerhalb des Moduls: 125,969 Millisekunden
    100,0% Prozent im Modul
    1652 Funktionen im Modul
    Aufrufe im Modul: 119787 
    Modulfunktionsabdeckung: 28,8%

        Funkt.        Funkt.+Unterfkt.      Anzahl
        Zeit     %         Zeit       %          Aufrufe  Funktion
------------------------------------------------------------------
       2,378   1,9        2,378   1,9     4048 std::list<char,class std::allocator<char> >::_Acc::_Prev(struct std::list<char,class std::allocator<char> >::_Node *) (mintokenizer.obj)
       2,312   1,8       10,056   8,0      520 std::list<char,class std::allocator<char> >::_Buynode(struct std::list<char,class std::allocator<char> >::_Node *,struct std::list<char,class std::allocator<char> >::_Node *) (mintokenizer.obj)
       2,223   1,8        2,223   1,8     1126 std::_Allocate(int,char *) (mintokenizer.obj)
       2,039   1,6        2,253   1,8      576 std::_Construct(class minToken *,class minToken const &) (mintokenizer.obj)
       1,873   1,5        1,873   1,5     1098 std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >(char const *,class basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::allocator<char> const &) (msvcp50.dll)
       1,832   1,5        3,956   3,1     3287 std::list<char,class std::allocator<char> >::end(void) (mintokenizer.obj)
       1,722   1,4        1,688   1,3     1008 std::list<char,class std::allocator<char> >::iterator::operator++(void) (mintokenizer.obj)
       1,540   1,2        1,540   1,2     2614 std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::~basic_string<char,struct std::char_traits<char>,class std::allocator<char> >(void) (msvcp50.dll)
       1,477   1,2        1,477   1,2     2210 minToken::GetString(void) (mintokenizer.obj)
       1,336   1,1        1,859   1,5     1152 std::list<class minToken,class std::allocator<class minToken> >::iterator::operator++(int) (mintokenizer.obj)
       1,302   1,0        3,036   2,4      504 std::allocator<char>::construct(char *,char const &) (mintokenizer.obj)
       1,270   1,0        1,734   1,4      504 std::_Construct(char *,char const &) (mintokenizer.obj)
       1,245   1,0       23,811  18,9      504 std::list<char,class std::allocator<char> >::push_back(char const &) (mintokenizer.obj)
       1,114   0,9        1,114   0,9     4616 std::list<class minToken,class std::allocator<class minToken> >::_Acc::_Prev(struct std::list<class minToken,class std::allocator<class minToken> >::_Node *) (mintokenizer.obj)
       1,037   0,8        1,452   1,2     2759 std::list<class minToken,class std::allocator<class minToken> >::end(void) (mintokenizer.obj)
       0,874   0,7        0,874   0,7     6223 std::list<class minToken,class std::allocator<class minToken> >::_Acc::_Next(struct std::list<class minToken,class std::allocator<class minToken> >::_Node *) (mintokenizer.obj)
       0,864   0,7        0,864   0,7     2363 std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::find(char const *,unsigned int,unsigned int) (msvcp50.dll)
       0,856   0,7        2,586   2,1       15 minTokenizer::IsIdentifierChar(char) (mintokenizer.obj)
       0,784   0,6        0,784   0,6     1504 std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >(class basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const &) (msvcp50.dll)
       0,743   0,6        0,807   0,6     2755 std::list<char,class std::allocator<char> >::const_iterator::operator*(void) (mintokenizer.obj)
       0,743   0,6        0,743   0,6     3429 std::list<class minToken,class std::allocator<class minToken> >::iterator::iterator(struct list<class minToken,class std::allocator<class minToken> >::iterator::_Node *) (mintokenizer.obj)
       0,714   0,6        0,714   0,6     1248 operator delete(void *) (delop_s.obj)
       0,701   0,6        1,649   1,3     1425 minToken::~minToken(void) (mintokenizer.obj)
       0,648   0,5        0,648   0,5     2767 std::list<char,class std::allocator<char> >::const_iterator::operator==(class std::list<char,class std::allocator<char> >::const_iterator const &) (mintokenizer.obj)
       0,629   0,5        5,023   4,0      576 std::list<class minToken,class std::allocator<class minToken> >::insert(class std::list<class minToken,class std::allocator<class minToken> >::iterator,class minToken const &) (mintokenizer.obj)
       0,622   0,5        3,415   2,7       66 minTokenizer::ReadIdentifierCharIfFound(void) (mintokenizer.obj)
       0,607   0,5        0,607   0,5     3311 std::list<class minToken,class std::allocator<class minToken> >::_Acc::_Value(struct std::list<class minToken,class std::allocator<class minToken> >::_Node *) (mintokenizer.obj)
       0,556   0,4        0,560   0,4     2654 std::list<char,class std::allocator<char> >::const_iterator::operator++(void) (mintokenizer.obj)
       0,545   0,4        1,027   0,8     2036 minTokenizer::ReadCharIfFound(char) (mintokenizer.obj)
       0,506   0,4        0,506   0,4        2 std::operator<<(class std::basic_ostream<char,struct std::char_traits<char> > &,char const *) (msvcp50.dll)
       0,482   0,4        0,791   0,6      520 std::allocator<char>::deallocate(void *,unsigned int) (mintokenizer.obj)
       0,479   0,4       38,579  30,6      135 minParser::PeekRealToken(class minToken &) (minparser.obj)
       0,457   0,4        0,457   0,4     1117 operator new(unsigned int,void *) (mintokenizer.obj)
       0,435   0,3        0,435   0,3     2036 std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::find(char,unsigned int) (msvcp50.dll)
       0,409   0,3        0,650   0,5     2175 std::list<class minToken,class std::allocator<class minToken> >::const_iterator::operator!=(class std::list<class minToken,class std::allocator<class minToken> >::const_iterator const &) (mintokenizer.obj)
       0,391   0,3        0,523   0,4     1152 std::list<class minToken,class std::allocator<class minToken> >::iterator::operator++(void) (mintokenizer.obj)
       0,350   0,3       37,533  29,8        7 minParser::ParseVarDeclarationOrFunction(class minInterpreterNode * &,bool,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const *,bool) (minparser.obj)
       0,347   0,3        0,995   0,8     2767 std::list<char,class std::allocator<char> >::const_iterator::operator!=(class std::list<char,class std::allocator<char> >::const_iterator const &) (mintokenizer.obj)
       0,318   0,3       24,837  19,7        8 minTokenizer::minTokenizer(void) (mintokenizer.obj)
       0,253   0,2        0,976   0,8      584 std::list<class minToken,class std::allocator<class minToken> >::_Buynode(struct std::list<class minToken,class std::allocator<class minToken> >::_Node *,struct std::list<class minToken,class std::allocator<class minToken> >::_Node *) (mintokenizer.obj)
       0,243   0,2        0,277   0,2      504 std::allocator<char>::destroy(char *) (mintokenizer.obj)
       0,241   0,2        0,241   0,2     2175 std::list<class minToken,class std::allocator<class minToken> >::const_iterator::operator==(class std::list<class minToken,class std::allocator<class minToken> >::const_iterator const &) (mintokenizer.obj)
       0,240   0,2        0,240   0,2     2363 std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::c_str(void) (msvcp50.dll)
       0,205   0,2        0,221   0,2      129 std::list<char,class std::allocator<char> >::begin(void) (mintokenizer.obj)
       0,204   0,2       38,100  30,2      135 minTokenizer::PeekRealToken(class minToken &,bool) (mintokenizer.obj)
       0,200   0,2        0,200   0,2     2478 std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::size(void) (msvcp50.dll)
       0,199   0,2        0,199   0,2        2 minGetCurrentTickCount(void) (minip.obj)
       0,194   0,2        5,559   4,4      576 minTokenizer::AddToken(class minToken const &) (mintokenizer.obj)
       0,190   0,2       39,278  31,2        8 std::list<class minToken,class std::allocator<class minToken> >::erase(class std::list<class minToken,class std::allocator<class minToken> >::iterator,class std::list<class minToken,class std::allocator<class minToken> >::iterator) (mintokenizer.obj)
       0,166   0,1        5,365   4,3      576 std::list<class minToken,class std::allocator<class minToken> >::push_back(class minToken const &) (mintokenizer.obj)
       0,162   0,1        0,233   0,2        7 minInterpreterEnvironment::GetFunctionForManglingName(class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const &,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const &) (minipenv.obj)
       0,157   0,1        0,157   0,1      120 std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::erase(unsigned int,unsigned int) (msvcp50.dll)
       0,155   0,1        0,155   0,1      477 std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::operator=(class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const &) (msvcp50.dll)
       0,155   0,1        0,155   0,1        8 std::vector<class minClassDeclarationNode const *,class std::allocator<class minClassDeclarationNode const *> >::vector<class minClassDeclarationNode const *,class std::allocator<class minClassDeclarationNode const *> >(class vector<class minClassDeclarationNode const *,class std::allocator<class minClassDeclarationNode const *> >::allocator<class minClassDeclarationNode const *> const &) (minparser.obj)
       0,146   0,1        0,147   0,1        1 std::list<class minHandle<class minInterpreterNode>,class std::allocator<class minHandle<class minInterpreterNode> > >::list<class minHandle<class minInterpreterNode>,class std::allocator<class minHandle<class minInterpreterNode> > >(class list<class minHandle<class minInterpreterNode>,class std::allocator<class minHandle<class minInterpreterNode> > >::list<class minHandle<class minInterpreterNode>,class std::allocator<class minHandle<class minInterpreterNode>
       0,145   0,1        0,357   0,3        7 minVariableDeclarationNode::minVariableDeclarationNode(class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const &,class minInterpreterType,int,class minInterpreterNode *,class minInterpreterNode *) (minparsernodes.obj)
       0,141   0,1        0,414   0,3      584 std::list<class minToken,class std::allocator<class minToken> >::_Freenode(struct std::list<class minToken,class std::allocator<class minToken> >::_Node *) (mintokenizer.obj)
       0,140   0,1        0,140   0,1     2880 std::list<char,class std::allocator<char> >::const_iterator::const_iterator(class list<char,class std::allocator<char> >::const_iterator::iterator const &) (mintokenizer.obj)
       0,139   0,1        1,776   1,4        2 minParser::ParseExpression(class minInterpreterNode * &,bool,bool,bool) (minparser.obj)
       0,129   0,1        0,220   0,2      257 minToken::minToken(void) (mintokenizer.obj)
       0,128   0,1        0,128   0,1     1152 std::list<class minToken,class std::allocator<class minToken> >::iterator::_Mynode(void) (mintokenizer.obj)
       0,127   0,1        0,216   0,2        1 minBlockNode::Execute(int,class minInterpreterValue &,class minInterpreterEnvironment &) (minparsernodes.obj)
       0,120   0,1        0,295   0,2        8 minParser::~minParser(void) (minparser.obj)
       0,116   0,1        0,220   0,2      576 minToken::minToken(class minToken const &) (mintokenizer.obj)
       0,110   0,1        4,277   3,4        1 minScriptInterpreter::minScriptInterpreter(bool) (minip.obj)
       0,110   0,1        1,798   1,4     1008 std::list<char,class std::allocator<char> >::iterator::operator++(int) (mintokenizer.obj)
       0,106   0,1        0,111   0,1       15 minParser::IsUserType(class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const &) (minparser.obj)
       0,106   0,1        0,205   0,2      592 minToken::minToken(enum minTokenType,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const &,int) (mintokenizer.obj)
       0,105   0,1        0,296   0,2        1 minInterpreterValue::minInterpreterValue(void) (minpreproc.obj)
       0,104   0,1        0,107   0,1        1 _$E26 (minipenv.obj)
       0,104   0,1        0,104   0,1      520 std::list<char,class std::allocator<char> >::iterator::operator!=(class std::list<char,class std::allocator<char> >::iterator const &) (mintokenizer.obj)
       0,101   0,1        0,893   0,7      520 std::list<char,class std::allocator<char> >::_Freenode(struct std::list<char,class std::allocator<char> >::_Node *) (mintokenizer.obj)
       0,101   0,1        0,106   0,1        1 minObjectElementNode::minObjectElementNode(class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const &,class minInterpreterNode *,class minInterpreterNode *) (minparser.obj)
       0,100   0,1        2,353   1,9      576 std::allocator<class minToken>::construct(class minToken *,class minToken const &) (mintokenizer.obj)
       0,096   0,1        3,156   2,5        1 minScriptInterpreter::InitTokenizer(void) (minip.obj)
       0,096   0,1        3,048   2,4        8 minParser::ParseBlock(class minInterpreterNode * &,bool) (minparser.obj)
       0,096   0,1        0,106   0,1        8 std::list<class minVariableSymbolItem,class std::allocator<class minVariableSymbolItem> >::list<class minVariableSymbolItem,class std::allocator<class minVariableSymbolItem> >(class list<class minVariableSymbolItem,class std::allocator<class minVariableSymbolItem> >::allocator<class minVariableSymbolItem> const &) (minparser.obj)
       0,095   0,1        0,120   0,1        7 minInterpreterFunctionDeclarationNode::~minInterpreterFunctionDeclarationNode(void) (minparsernodes.obj)
       0,094   0,1        0,094   0,1        1 _ValueDumper<long>::_ValueDumper<long>(long &) (minparsernodes.obj)
       0,094   0,1        0,094   0,1     1008 std::list<char,class std::allocator<char> >::iterator::_Mynode(void) (mintokenizer.obj)
       0,093   0,1        0,097   0,1        1 _$E25 (minip.obj)
       0,093   0,1        0,093   0,1        1 minHandle<class minInterpreterValue>::minHandle<class minInterpreterValue>(class minInterpreterValue *) (minpreproc.obj)
       0,093   0,1        0,101   0,1        2 minVariableNode::minVariableNode(class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const &,class minInterpreterType) (minparser.obj)
       0,092   0,1        0,092   0,1        2 minInterpreterNode::GetCountRef(void) (minpreproc.obj)
       0,092   0,1        0,186   0,1        2 std::allocator<class minHandle<class minCallStackItem> >::_Charalloc(unsigned int) (minpreproc.obj)
       0,091   0,1        0,277   0,2        2 std::list<class minHandle<class minCallStackItem>,class std::allocator<class minHandle<class minCallStackItem> > >::_Buynode(struct std::list<class minHandle<class minCallStackItem>,class std::allocator<class minHandle<class minCallStackItem> > >::_Node *,struct std::list<class minHandle<class minCallStackItem>,class std::allocator<class minHandle<class minCallStackItem> > >::_Node *) (minpreproc.obj)
       0,091   0,1        0,094   0,1        1 _$E26 (minparsernodes.obj)
       0,091   0,1        0,100   0,1        1 _$E30 (minpreproc.obj)
       0,091   0,1        0,091   0,1        7 std::_Construct(class minHandle<class minFunctionDeclarationNode> *,class minHandle<class minFunctionDeclarationNode> const &) (minpreproc.obj)
       0,090   0,1        0,376   0,3        1 minInterpreterEnvironment::minInterpreterEnvironment(void) (minipenv.obj)
       0,089   0,1        0,099   0,1       25 minInterpreterType::minInterpreterType(enum InterpreterValueType,int,bool,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const &,bool) (minpreproc.obj)
       0,087   0,1        0,092   0,1        1 _$E25 (minparser.obj)
       0,086   0,1        0,089   0,1        1 minBlockNode::NeedElementsStackItem(void) (minparsernodes.obj)
       0,080   0,1        0,436   0,3       32 minTokenizer::ReadDigitIfFound(void) (mintokenizer.obj)
       0,075   0,1        0,244   0,2      204 minTokenizer::ReadStringIfFound(class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const &) (mintokenizer.obj)
       0,075   0,1        0,213   0,2      425 minToken::operator=(class minToken const &) (mintokenizer.obj)
       0,075   0,1        0,075   0,1     3763 std::list<char,class std::allocator<char> >::_Acc::_Value(struct std::list<char,class std::allocator<char> >::_Node *) (mintokenizer.obj)
       0,074   0,1        0,074   0,1      584 std::list<class minToken,class std::allocator<class minToken> >::iterator::operator==(class std::list<class minToken,class std::allocator<class minToken> >::iterator const &) (mintokenizer.obj)
       0,072   0,1        0,146   0,1      584 std::list<class minToken,class std::allocator<class minToken> >::iterator::operator!=(class std::list<class minToken,class std::allocator<class minToken> >::iterator const &) (mintokenizer.obj)
       0,065   0,1        0,571   0,5      584 std::allocator<class minToken>::_Charalloc(unsigned int) (mintokenizer.obj)
       0,065   0,1        0,065   0,1       16 std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >(class basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const &,unsigned int,unsigned int,class basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::allocator<char> const &) 
       0,054   0,0        7,090   5,6       16 std::list<char,class std::allocator<char> >::erase(class std::list<char,class std::allocator<char> >::iterator,class std::list<char,class std::allocator<char> >::iterator) (mintokenizer.obj)
       0,052   0,0        0,052   0,0     2261 std::list<class minToken,class std::allocator<class minToken> >::const_iterator::const_iterator(class list<class minToken,class std::allocator<class minToken> >::const_iterator::iterator const &) (mintokenizer.obj)
       0,050   0,0        0,050   0,0        2 std::basic_ostream<char,struct std::char_traits<char> >::operator<<(long) (msvcp50.dll)
       0,034   0,0        0,034   0,0      504 std::_Destroy(char *) (mintokenizer.obj)
       0,033   0,0        0,056   0,0       94 std::list<class minToken,class std::allocator<class minToken> >::begin(void) (mintokenizer.obj)
       0,032   0,0        0,032   0,0       15 std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::operator[](unsigned int) (msvcp50.dll)
       0,031   0,0        0,031   0,0       15 minHandle<class minFunctionDeclarationNode>::minHandle<class minFunctionDeclarationNode>(class minFunctionDeclarationNode *) (minpreproc.obj)
       0,031   0,0      113,416  90,0        1 minScriptInterpreter::InitRuntimeEnvironment(void) (minip.obj)
       0,028   0,0        0,053   0,0       27 std::allocator<class minHandle<class minVariableDeclarationNode> >::allocate(unsigned int,void const *) (minparser.obj)
       0,028   0,0        0,028   0,0      116 std::operator==(class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const &,char const *) (msvcp50.dll)
       0,027   0,0        0,027   0,0      159 minToken::IsKeyword(void) (mintokenizer.obj)
       0,026   0,0       37,560  29,8        7 minParser::ParseFunction(void) (minparser.obj)
       0,025   0,0        0,025   0,0      165 minToken::IsWhitespace(void) (mintokenizer.obj)
       0,025   0,0        0,025   0,0       27 std::_Allocate(int,class minHandle<class minVariableDeclarationNode> *) (minparser.obj)
       0,025   0,0        0,025   0,0        2 std::basic_ostream<char,struct std::char_traits<char> >::operator<<(class std::basic_ostream<char,struct std::char_traits<char> > & (*)(class std::basic_ostream<char,struct std::char_traits<char> > &)) (msvcp50.dll)
       0,024   0,0        0,024   0,0      301 minTokenizer::IsError(void) (mintokenizer.obj)
       0,024   0,0        0,031   0,0       29 std::allocator<class minHandle<class minVariableDeclarationNode> >::construct(class minHandle<class minVariableDeclarationNode> *,class minHandle<class minVariableDeclarationNode> const &) (minparser.obj)
       0,023   0,0       13,470  10,7        7 minParser::ParseArgumentDeclarationList(class std::vector<class minHandle<class minVariableDeclarationNode>,class std::allocator<class minHandle<class minVariableDeclarationNode> > > &) (minparser.obj)
       0,023   0,0        0,046   0,0        8 std::list<class minVariableSymbolItem,class std::allocator<class minVariableSymbolItem> >::~list<class minVariableSymbolItem,class std::allocator<class minVariableSymbolItem> >(void) (minparser.obj)
       0,022   0,0        0,022   0,0       17 std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::operator+=(char const *) (msvcp50.dll)
       0,021   0,0        0,101   0,1        7 minNativeFunctionDeclarationNode::minNativeFunctionDeclarationNode(class minNativeFcnInterface *) (minip.obj)
       0,020   0,0        0,052   0,0        7 std::vector<class minHandle<class minVariableDeclarationNode>,class std::allocator<class minHandle<class minVariableDeclarationNode> > >::push_back(class minHandle<class minVariableDeclarationNode> const &) (minparser.obj)
       0,018   0,0        0,018   0,0        7 minHandle<class minVariableDeclarationNode>::minHandle<class minVariableDeclarationNode>(class minVariableDeclarationNode *) (minparser.obj)
       0,018   0,0       31,961  25,4       86 minTokenizer::CheckForKnownTokenReplaceInt(class minToken &) (mintokenizer.obj)
       0,017   0,0        0,017   0,0       10 std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::operator=(char const *) (msvcp50.dll)
       0,017   0,0        0,017   0,0       39 std::operator==(class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const &,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const &) (msvcp50.dll)
       0,016   0,0        0,142   0,1       14 minFunctionDeclarationNode::minFunctionDeclarationNode(class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const &,bool,class minInterpreterType,class basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::vector<class minHandle<class minVariableDeclarationNode>,class std::allocator<class minHandle<class minVariableDeclarationNode> > > const &) (minparser.obj)
       0,016   0,0        0,031   0,0       60 minInterpreterType::~minInterpreterType(void) (minpreproc.obj)
       0,015   0,0        0,024   0,0       56 minInterpreterType::minInterpreterType(class minInterpreterType const &) (minpreproc.obj)
       0,015   0,0       26,662  21,2       14 minParser::ReadAndSubstitueTypeToken(bool) (minparser.obj)
       0,015   0,0       37,788  30,0      165 minTokenizer::PeekNextToken(class minToken &) (mintokenizer.obj)
       0,014   0,0        0,019   0,0       25 minInterpreterNode::minInterpreterNode(class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const &) (minparsernodes.obj)
       0,014   0,0        0,014   0,0      135 minToken::IsComment(void) (mintokenizer.obj)
       0,014   0,0        0,014   0,0       44 std::vector<class minHandle<class minVariableDeclarationNode>,class std::allocator<class minHandle<class minVariableDeclarationNode> > >::end(void) (minparsernodes.obj)
       0,013   0,0        0,018   0,0       56 minToken::IsKeywordAsOperator(void) (mintokenizer.obj)
       0,012   0,0        0,257   0,2       16 minParser::ParseForStringToken(class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const &) (minparser.obj)
       0,011   0,0        0,235   0,2       16 minTokenizer::CheckForNumberToken(class minToken &) (mintokenizer.obj)
       0,011   0,0        0,011   0,0        5 std::ios_base::Init::Init(void) (msvcp50.dll)
       0,010   0,0        0,271   0,2        8 minParser::minParser(class minTokenizer * const) (minparser.obj)
       0,010   0,0        0,155   0,1       16 minTokenizer::CheckForBoolToken(class minToken &) (mintokenizer.obj)
       0,010   0,0        3,864   3,1       16 minTokenizer::CheckForIdentifierToken(class minToken &) (mintokenizer.obj)
       0,010   0,0        0,010   0,0        8 std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::substr(unsigned int,unsigned int) (msvcp50.dll)
       0,010   0,0        0,039   0,0        7 std::list<class minHandle<class minFunctionDeclarationNode>,class std::allocator<class minHandle<class minFunctionDeclarationNode> > >::erase(class std::list<class minHandle<class minFunctionDeclarationNode>,class std::allocator<class minHandle<class minFunctionDeclarationNode> > >::iterator) (minpreproc.obj)
       0,009   0,0        0,026   0,0       14 minTokenizer::CheckForIntToken(class minToken &) (mintokenizer.obj)
       0,009   0,0        0,076   0,1       14 std::vector<class minHandle<class minVariableDeclarationNode>,class std::allocator<class minHandle<class minVariableDeclarationNode> > >::vector<class minHandle<class minVariableDeclarationNode>,class std::allocator<class minHandle<class minVariableDeclarationNode> > >(class vector<class minHandle<class minVariableDeclarationNode>,class std::allocator<class minHandle<class minVariableDeclarationNode> > >::vector<class minHandle<class minVariableDeclarationNode
       0,008   0,0        0,008   0,0       15 minParser::IsTypedefType(class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const &) (minparser.obj)
       0,008   0,0        0,100   0,1       86 minTokenizer::ReadNextToken(void) (mintokenizer.obj)
       0,008   0,0        0,008   0,0       50 std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >(class basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::allocator<char> const &) (msvcp50.dll)
       0,008   0,0        0,112   0,1        7 std::list<class minHandle<class minFunctionDeclarationNode>,class std::allocator<class minHandle<class minFunctionDeclarationNode> > >::insert(class std::list<class minHandle<class minFunctionDeclarationNode>,class std::allocator<class minHandle<class minFunctionDeclarationNode> > >::iterator,class minHandle<class minFunctionDeclarationNode> const &) (minpreproc.obj)
       0,008   0,0        0,036   0,0       34 std::vector<class minHandle<class minVariableDeclarationNode>,class std::allocator<class minHandle<class minVariableDeclarationNode> > >::_Ucopy(class minHandle<class minVariableDeclarationNode> const *,class minHandle<class minVariableDeclarationNode> const *,class minHandle<class minVariableDeclarationNode> *) (minparser.obj)
       0,008   0,0        0,008   0,0       62 std::vector<class minHandle<class minVariableDeclarationNode>,class std::allocator<class minHandle<class minVariableDeclarationNode> > >::size(void) (minparsernodes.obj)
       0,008   0,0        0,008   0,0       29 minHandle<class minVariableDeclarationNode>::minHandle<class minVariableDeclarationNode>(class minHandle<class minVariableDeclarationNode> const &) (minparsernodes.obj)
       0,008   0,0        0,008   0,0       81 std::list<class minHandle<class minFunctionDeclarationNode>,class std::allocator<class minHandle<class minFunctionDeclarationNode> > >::_Acc::_Next(struct std::list<class minHandle<class minFunctionDeclarationNode>,class std::allocator<class minHandle<class minFunctionDeclarationNode> > >::_Node *) (minpreproc.obj)
       0,008   0,0        0,008   0,0       55 std::list<class minHandle<class minFunctionDeclarationNode>,class std::allocator<class minHandle<class minFunctionDeclarationNode> > >::iterator::iterator(struct list<class minHandle<class minFunctionDeclarationNode>,class std::allocator<class minHandle<class minFunctionDeclarationNode> > >::iterator::_Node *) (minpreproc.obj)
       0,007   0,0        0,007   0,0       74 minToken::GetId(void) (mintokenizer.obj)
       0,007   0,0        0,007   0,0        8 std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::operator+=(class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const &) (msvcp50.dll)
       0,007   0,0        0,007   0,0       14 std::vector<class minHandle<class minVariableDeclarationNode>,class std::allocator<class minHandle<class minVariableDeclarationNode> > >::vector<class minHandle<class minVariableDeclarationNode>,class std::allocator<class minHandle<class minVariableDeclarationNode> > >(class vector<class minHandle<class minVariableDeclarationNode>,class std::allocator<class minHandle<class minVariableDeclarationNode> > >::allocator<class minHandle<class minVariableDeclarationN
       0,006   0,0        0,006   0,0       35 minFunctionDeclarationNode::GetName(void) (minparsernodes.obj)
